track_id,dataset,caption_raw,caption_masked,metadata,n_aspects_stripped
mtat_63,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_66,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_67,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_71,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_73,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_74,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_76,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_78,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_79,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_80,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_81,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_82,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_83,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_84,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_85,mtat,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa. Heinrich Schutz - Musicalische Exequien. American Bach Soloists,0
mtat_90,mtat,My mistress hath a pritty thing (Tobias Hume). Gambomania. Ralph Meulenbroeks,My mistress hath a pritty thing (Tobias Hume). Gambomania. Ralph Meulenbroeks,My mistress hath a pritty thing (Tobias Hume). Gambomania. Ralph Meulenbroeks,0
mtat_91,mtat,My mistress hath a pritty thing (Tobias Hume). Gambomania. Ralph Meulenbroeks,My mistress hath a pritty thing (Tobias Hume). Gambomania. Ralph Meulenbroeks,My mistress hath a pritty thing (Tobias Hume). Gambomania. Ralph Meulenbroeks,0
mtat_92,mtat,My mistress hath a pritty thing (Tobias Hume). Gambomania. Ralph Meulenbroeks,My mistress hath a pritty thing (Tobias Hume). Gambomania. Ralph Meulenbroeks,My mistress hath a pritty thing (Tobias Hume). Gambomania. Ralph Meulenbroeks,0
mtat_94,mtat,My mistress hath a pritty thing (Tobias Hume). Gambomania. Ralph Meulenbroeks,My mistress hath a pritty thing (Tobias Hume). Gambomania. Ralph Meulenbroeks,My mistress hath a pritty thing (Tobias Hume). Gambomania. Ralph Meulenbroeks,0
mtat_97,mtat,Overture. Jake Heggie - To Hell and Back. Philharmonia Baroque Orchestra,Overture. Jake Heggie - To Hell and Back. Philharmonia Baroque Orchestra,Overture. Jake Heggie - To Hell and Back. Philharmonia Baroque Orchestra,0
mtat_98,mtat,Overture. Jake Heggie - To Hell and Back. Philharmonia Baroque Orchestra,Overture. Jake Heggie - To Hell and Back. Philharmonia Baroque Orchestra,Overture. Jake Heggie - To Hell and Back. Philharmonia Baroque Orchestra,0
mtat_99,mtat,Overture. Jake Heggie - To Hell and Back. Philharmonia Baroque Orchestra,Overture. Jake Heggie - To Hell and Back. Philharmonia Baroque Orchestra,Overture. Jake Heggie - To Hell and Back. Philharmonia Baroque Orchestra,0
mtat_101,mtat,Under The Bright Lights. Last Of The Pleasure Seekers. Rocket City Riot,Under The Bright Lights. Last Of The Pleasure Seekers. Rocket City Riot,Under The Bright Lights. Last Of The Pleasure Seekers. Rocket City Riot,0
mtat_105,mtat,Under The Bright Lights. Last Of The Pleasure Seekers. Rocket City Riot,Under The Bright Lights. Last Of The Pleasure Seekers. Rocket City Riot,Under The Bright Lights. Last Of The Pleasure Seekers. Rocket City Riot,0
mtat_115,mtat,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,0
mtat_116,mtat,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,0
mtat_117,mtat,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,0
mtat_118,mtat,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,0
mtat_119,mtat,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,0
mtat_120,mtat,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,0
mtat_122,mtat,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,0
mtat_123,mtat,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,0
mtat_128,mtat,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,1x3. Turkishauch. Tilopa,0
mtat_133,mtat,2 percent er. A few things to hear before we all blow up. Williamson,2 percent er. A few things to hear before we all blow up. Williamson,2 percent er. A few things to hear before we all blow up. Williamson,0
mtat_134,mtat,2 percent er. A few things to hear before we all blow up. Williamson,2 percent er. A few things to hear before we all blow up. Williamson,2 percent er. A few things to hear before we all blow up. Williamson,0
mtat_135,mtat,2 percent er. A few things to hear before we all blow up. Williamson,2 percent er. A few things to hear before we all blow up. Williamson,2 percent er. A few things to hear before we all blow up. Williamson,0
mtat_139,mtat,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,0
mtat_144,mtat,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,0
mtat_145,mtat,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,0
mtat_146,mtat,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,0
mtat_147,mtat,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,0
mtat_148,mtat,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,0
mtat_150,mtat,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,0
mtat_151,mtat,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,0
mtat_153,mtat,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,0
mtat_154,mtat,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,0
mtat_157,mtat,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,0
mtat_158,mtat,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,3 Almaines (Holborne). Dances and Canzonas of Holborne and Brade. New York Consort of Viols,0
mtat_164,mtat,30 Years. The Devil I Know. Mercy Machine,30 Years. The Devil I Know. Mercy Machine,30 Years. The Devil I Know. Mercy Machine,0
mtat_165,mtat,30 Years. The Devil I Know. Mercy Machine,30 Years. The Devil I Know. Mercy Machine,30 Years. The Devil I Know. Mercy Machine,0
mtat_170,mtat,30 Years. The Devil I Know. Mercy Machine,30 Years. The Devil I Know. Mercy Machine,30 Years. The Devil I Know. Mercy Machine,0
mtat_172,mtat,4 O'Clock Sunny And Hot. Magic Midsummer. Liquid Zen,4 O'Clock Sunny And Hot. Magic Midsummer. Liquid Zen,4 O'Clock Sunny And Hot. Magic Midsummer. Liquid Zen,0
mtat_173,mtat,4 O'Clock Sunny And Hot. Magic Midsummer. Liquid Zen,4 O'Clock Sunny And Hot. Magic Midsummer. Liquid Zen,4 O'Clock Sunny And Hot. Magic Midsummer. Liquid Zen,0
mtat_174,mtat,4 O'Clock Sunny And Hot. Magic Midsummer. Liquid Zen,4 O'Clock Sunny And Hot. Magic Midsummer. Liquid Zen,4 O'Clock Sunny And Hot. Magic Midsummer. Liquid Zen,0
mtat_177,mtat,7 Nine Skank. Stereo Mash Up. Burning Babylon,7 Nine Skank. Stereo Mash Up. Burning Babylon,7 Nine Skank. Stereo Mash Up. Burning Babylon,0
mtat_178,mtat,7 Nine Skank. Stereo Mash Up. Burning Babylon,7 Nine Skank. Stereo Mash Up. Burning Babylon,7 Nine Skank. Stereo Mash Up. Burning Babylon,0
mtat_180,mtat,7 Nine Skank. Stereo Mash Up. Burning Babylon,7 Nine Skank. Stereo Mash Up. Burning Babylon,7 Nine Skank. Stereo Mash Up. Burning Babylon,0
mtat_181,mtat,7 Nine Skank. Stereo Mash Up. Burning Babylon,7 Nine Skank. Stereo Mash Up. Burning Babylon,7 Nine Skank. Stereo Mash Up. Burning Babylon,0
mtat_184,mtat,8 seconds. 8 Seconds. Pain Factor,8 seconds. 8 Seconds. Pain Factor,8 seconds. 8 Seconds. Pain Factor,0
mtat_185,mtat,8 seconds. 8 Seconds. Pain Factor,8 seconds. 8 Seconds. Pain Factor,8 seconds. 8 Seconds. Pain Factor,0
mtat_186,mtat,8 seconds. 8 Seconds. Pain Factor,8 seconds. 8 Seconds. Pain Factor,8 seconds. 8 Seconds. Pain Factor,0
mtat_188,mtat,8 seconds. 8 Seconds. Pain Factor,8 seconds. 8 Seconds. Pain Factor,8 seconds. 8 Seconds. Pain Factor,0
mtat_190,mtat,A Rhyming Dictionary. Making Circles. The Seldon Plan,A Rhyming Dictionary. Making Circles. The Seldon Plan,A Rhyming Dictionary. Making Circles. The Seldon Plan,0
mtat_195,mtat,A Rhyming Dictionary. Making Circles. The Seldon Plan,A Rhyming Dictionary. Making Circles. The Seldon Plan,A Rhyming Dictionary. Making Circles. The Seldon Plan,0
mtat_198,mtat,A Short Burst of Clarity. Lunar Ecstasy. Mountain Mirrors,A Short Burst of Clarity. Lunar Ecstasy. Mountain Mirrors,A Short Burst of Clarity. Lunar Ecstasy. Mountain Mirrors,0
mtat_199,mtat,A Short Burst of Clarity. Lunar Ecstasy. Mountain Mirrors,A Short Burst of Clarity. Lunar Ecstasy. Mountain Mirrors,A Short Burst of Clarity. Lunar Ecstasy. Mountain Mirrors,0
mtat_200,mtat,A Short Burst of Clarity. Lunar Ecstasy. Mountain Mirrors,A Short Burst of Clarity. Lunar Ecstasy. Mountain Mirrors,A Short Burst of Clarity. Lunar Ecstasy. Mountain Mirrors,0
mtat_202,mtat,A Short Burst of Clarity. Lunar Ecstasy. Mountain Mirrors,A Short Burst of Clarity. Lunar Ecstasy. Mountain Mirrors,A Short Burst of Clarity. Lunar Ecstasy. Mountain Mirrors,0
mtat_204,mtat,A Signal from Mars. Too Much Mustard. Professor Armchair,A Signal from Mars. Too Much Mustard. Professor Armchair,A Signal from Mars. Too Much Mustard. Professor Armchair,0
mtat_206,mtat,A Signal from Mars. Too Much Mustard. Professor Armchair,A Signal from Mars. Too Much Mustard. Professor Armchair,A Signal from Mars. Too Much Mustard. Professor Armchair,0
mtat_219,mtat,A toy. Jane Pickeringes Lute Book. Jacob Heringman,A toy. Jane Pickeringes Lute Book. Jacob Heringman,A toy. Jane Pickeringes Lute Book. Jacob Heringman,0
mtat_224,mtat,Action High. Sick Songs. Electric Frankenstein,Action High. Sick Songs. Electric Frankenstein,Action High. Sick Songs. Electric Frankenstein,0
mtat_231,mtat,African Dance. Apa Ya. Apa Ya,African Dance. Apa Ya. Apa Ya,African Dance. Apa Ya. Apa Ya,0
mtat_232,mtat,African Dance. Apa Ya. Apa Ya,African Dance. Apa Ya. Apa Ya,African Dance. Apa Ya. Apa Ya,0
mtat_234,mtat,Afterburner. Afterburner. Seismic Anamoly,Afterburner. Afterburner. Seismic Anamoly,Afterburner. Afterburner. Seismic Anamoly,0
mtat_238,mtat,Afterburner. Afterburner. Seismic Anamoly,Afterburner. Afterburner. Seismic Anamoly,Afterburner. Afterburner. Seismic Anamoly,0
mtat_239,mtat,Afterburner. Afterburner. Seismic Anamoly,Afterburner. Afterburner. Seismic Anamoly,Afterburner. Afterburner. Seismic Anamoly,0
mtat_241,mtat,Afterburner. Afterburner. Seismic Anamoly,Afterburner. Afterburner. Seismic Anamoly,Afterburner. Afterburner. Seismic Anamoly,0
mtat_244,mtat,Air on a G string (BWV 1069). An Evening With Bach. Voices of Music,Air on a G string (BWV 1069). An Evening With Bach. Voices of Music,Air on a G string (BWV 1069). An Evening With Bach. Voices of Music,0
mtat_246,mtat,Air on a G string (BWV 1069). An Evening With Bach. Voices of Music,Air on a G string (BWV 1069). An Evening With Bach. Voices of Music,Air on a G string (BWV 1069). An Evening With Bach. Voices of Music,0
mtat_248,mtat,Air on a G string (BWV 1069). An Evening With Bach. Voices of Music,Air on a G string (BWV 1069). An Evening With Bach. Voices of Music,Air on a G string (BWV 1069). An Evening With Bach. Voices of Music,0
mtat_252,mtat,All I Got. Middle Age Suicide. Rocket City Riot,All I Got. Middle Age Suicide. Rocket City Riot,All I Got. Middle Age Suicide. Rocket City Riot,0
mtat_253,mtat,All I Got. Middle Age Suicide. Rocket City Riot,All I Got. Middle Age Suicide. Rocket City Riot,All I Got. Middle Age Suicide. Rocket City Riot,0
mtat_283,mtat,Alysoun. Worlds Bliss - Medieval Songs of Love and Death. John Fleagle,Alysoun. Worlds Bliss - Medieval Songs of Love and Death. John Fleagle,Alysoun. Worlds Bliss - Medieval Songs of Love and Death. John Fleagle,0
