ytid,status,path,duration_s,error
FtskdD6Py7Y,missing,,,ERROR: [youtube] FtskdD6Py7Y: This video is unavailable
Fv9swdLA-lo,missing,,,ERROR: [youtube] Fv9swdLA-lo: Video unavailable
FscE_AHEmFk,missing,,,ERROR: [youtube] FscE_AHEmFk: Video unavailable
GBLKj2d0iC4,missing,,,ERROR: [youtube] GBLKj2d0iC4: Private video
GcbCOmNiVm8,missing,,,ERROR: [youtube] GcbCOmNiVm8: Private video
HAHn_zB47ig,missing,,,ERROR: [youtube] HAHn_zB47ig: Private video
HVA9-fjtv6U,missing,,,ERROR: [youtube] HVA9-fjtv6U: This video is unavailable
Hob0LAu8afQ,missing,,,ERROR: [youtube] Hob0LAu8afQ: Private video
Hvs6Xwc6-gc,missing,,,ERROR: [youtube] Hvs6Xwc6-gc: Video unavailable
IF-77lLlMzE,missing,,,ERROR: [youtube] IF-77lLlMzE: Video unavailable
IbJh1xeBFcI,missing,,,ERROR: [youtube] IbJh1xeBFcI: This video is unavailable
InfQUMh935c,missing,,,ERROR: [youtube] InfQUMh935c: This video is unavailable
JL9Xxzf9e2A,missing,,,ERROR: [youtube] JL9Xxzf9e2A: Video unavailable
JNw0A8pRnsQ,missing,,,ERROR: [youtube] JNw0A8pRnsQ: This video is unavailable
Jk2mvFrdZTU,missing,,,ERROR: [youtube] Jk2mvFrdZTU: Video unavailable
Js_3Aa214xY,missing,,,ERROR: [youtube] Js_3Aa214xY: Video unavailable
KZ8gBHLNmH0,missing,,,ERROR: [youtube] KZ8gBHLNmH0: Video unavailable
KfLxBjl-aBU,missing,,,ERROR: [youtube] KfLxBjl-aBU: This video is unavailable
KfAq7kxHjPk,missing,,,ERROR: [youtube] KfAq7kxHjPk: Please sign in. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to
KikHXfUanJk,missing,,,ERROR: [youtube] KikHXfUanJk: Video unavailable
L5Uu_0xEZg4,missing,,,ERROR: [youtube] L5Uu_0xEZg4: This video is unavailable
LCMQXFKMLIM,missing,,,ERROR: [youtube] LCMQXFKMLIM: Private video
LRfVQsnaVQE,missing,,,ERROR: [youtube] LRfVQsnaVQE: Video unavailable
JDWPJ1AiDKc,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\JDWPJ1AiDKc_30_40.wav,10.0,
MP7KPlqoQW0,missing,,,ERROR: [youtube] MP7KPlqoQW0: Video unavailable
MROotmz8a-U,missing,,,ERROR: [youtube] MROotmz8a-U: This video is unavailable
MdsRmMxkF4k,missing,,,ERROR: [youtube] MdsRmMxkF4k: Video unavailable
MYtq46rNsCA,missing,,,ERROR: [youtube] MYtq46rNsCA: Video unavailable
Mp1MHSeHa0o,missing,,,ERROR: [youtube] Mp1MHSeHa0o: Video unavailable
KEp2NhraIZI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\KEp2NhraIZI_30_40.wav,10.0,
NC5tIv4-8fg,missing,,,ERROR: [youtube] NC5tIv4-8fg: Private video
NXuB3ZEpM5U,missing,,,ERROR: [youtube] NXuB3ZEpM5U: Private video
NIcsJ8sEd0M,missing,,,ERROR: [youtube] NIcsJ8sEd0M: This video is unavailable
NZYDLDIyZr8,missing,,,ERROR: [youtube] NZYDLDIyZr8: This video is unavailable
NgniX3tg_Mo,missing,,,ERROR: [youtube] NgniX3tg_Mo: This video is unavailable
OO1Q-3kXCtM,missing,,,ERROR: [youtube] OO1Q-3kXCtM: Private video
OS4YFp3DiEE,missing,,,ERROR: [youtube] OS4YFp3DiEE: Video unavailable
NsYVaRI6rXg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\NsYVaRI6rXg_30_40.wav,10.0,
OAl2EjbdQG8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\OAl2EjbdQG8_30_40.wav,10.0,
OoRUo92emGo,missing,,,ERROR: [youtube] OoRUo92emGo: Private video
PTCsH-ffeq4,missing,,,ERROR: [youtube] PTCsH-ffeq4: This video is unavailable
PmiH7RnCkhI,missing,,,ERROR: [youtube] PmiH7RnCkhI: This video is unavailable
PfO7ZVdzfZ4,missing,,,ERROR: [youtube] PfO7ZVdzfZ4: Video unavailable
QRKc90kuAaE,missing,,,ERROR: [youtube] QRKc90kuAaE: This video is unavailable
QzO6ylLrTGg,missing,,,ERROR: [youtube] QzO6ylLrTGg: Private video
RQ0-sjpAPKU,missing,,,ERROR: [youtube] RQ0-sjpAPKU: Private video
Rqv5fu1PCXA,missing,,,ERROR: [youtube] Rqv5fu1PCXA: Video unavailable
RxBFh-zdid4,missing,,,ERROR: [youtube] RxBFh-zdid4: Private video
SGFYFPs3Fic,missing,,,ERROR: [youtube] SGFYFPs3Fic: This video is unavailable
SLq-Co_szYo,missing,,,ERROR: [youtube] SLq-Co_szYo: Private video
T6iv9GFIVyU,missing,,,ERROR: [youtube] T6iv9GFIVyU: Video unavailable
T7bG4kIEw-M,missing,,,ERROR: [youtube] T7bG4kIEw-M: Private video
TFLt7mn57ZI,missing,,,ERROR: [youtube] TFLt7mn57ZI: This video is unavailable
TqIptTnXb20,missing,,,ERROR: [youtube] TqIptTnXb20: Video unavailable
TworrkXAPuI,missing,,,ERROR: [youtube] TworrkXAPuI: Private video
U3TpCc2zHrI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\U3TpCc2zHrI_20_30.wav,10.0,
U4MdEIQcZxs,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\U4MdEIQcZxs_30_40.wav,10.0,
U6SYfguaJtk,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\U6SYfguaJtk_30_40.wav,10.0,
U4UtZeTl2DE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\U4UtZeTl2DE_30_40.wav,10.0,
U6aLiMIlqCc,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\U6aLiMIlqCc_60_70.wav,10.0,
U8XdDv5ERu4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\U8XdDv5ERu4_30_40.wav,10.0,
U8yqYlErUz8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\U8yqYlErUz8_200_210.wav,10.0,
UBfHLeCBBsA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UBfHLeCBBsA_30_40.wav,10.0,
UCBocxMCdck,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UCBocxMCdck_40_50.wav,10.0,
UC_XpUcIQ_8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UC_XpUcIQ_8_60_70.wav,10.0,
UDN11Q90Fa4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UDN11Q90Fa4_30_40.wav,10.0,
UDS6PrY9ZIM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UDS6PrY9ZIM_130_140.wav,10.0,
UDTsCTLkZzc,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UDTsCTLkZzc_90_100.wav,10.0,
UDg9vuBDtVU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UDg9vuBDtVU_30_40.wav,10.0,
UEOUXjX5R2I,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UEOUXjX5R2I_60_70.wav,10.0,
UEel3wTf0Sk,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UEel3wTf0Sk_30_40.wav,10.0,
UFyOGqmITjM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UFyOGqmITjM_0_10.wav,10.0,
UGEqY_NTMpI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UGEqY_NTMpI_140_150.wav,10.0,
UHvYrO1IGCc,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UHvYrO1IGCc_380_390.wav,10.0,
UD0pisqyLKA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UD0pisqyLKA_40_50.wav,10.0,
UIOnnpaqBy8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UIOnnpaqBy8_30_40.wav,10.0,
UJA5AWbt6HM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UJA5AWbt6HM_70_80.wav,10.0,
UJAk1nNdo1I,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UJAk1nNdo1I_30_40.wav,10.0,
ULXbXpLcoVA,missing,,,ERROR: [youtube] ULXbXpLcoVA: This video is unavailable
ULHPhjaJ6p0,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\ULHPhjaJ6p0_30_40.wav,10.0,
UOAv5b6MGxw,missing,,,ERROR: [youtube] UOAv5b6MGxw: This video is not available
UNJswfXKJ3s,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UNJswfXKJ3s_30_40.wav,10.0,
UO9HtZMrbBE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UO9HtZMrbBE_30_40.wav,10.0,
UOC4VWQpnDM,missing,,,ERROR: [youtube] UOC4VWQpnDM: Video unavailable
UOKWQ2EHJQI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UOKWQ2EHJQI_20_30.wav,10.0,
UPPHkyd7lwE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UPPHkyd7lwE_230_240.wav,10.0,
UQKLBsZJsww,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UQKLBsZJsww_30_40.wav,10.0,
UR3k09hOxI4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UR3k09hOxI4_30_40.wav,10.0,
URM1QgX5Ar4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\URM1QgX5Ar4_150_160.wav,10.0,
UUJ1DNycpiQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UUJ1DNycpiQ_30_40.wav,10.0,
US3ZL2zhXgI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\US3ZL2zhXgI_180_190.wav,10.0,
UVMBRVJTvzg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UVMBRVJTvzg_30_40.wav,10.0,
UVY68vFiApA,missing,,,ERROR: [youtube] UVY68vFiApA: This video is not available
UWl99yJsb8M,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UWl99yJsb8M_30_40.wav,10.0,
UXDzDV_f1jw,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UXDzDV_f1jw_120_130.wav,10.0,
UY2_Q830lqo,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UY2_Q830lqo_30_40.wav,10.0,
Ubj0jlheyvk,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Ubj0jlheyvk_30_40.wav,10.0,
UcNVLU-cRNg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UcNVLU-cRNg_340_350.wav,10.0,
UcS5U1mpbAE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UcS5U1mpbAE_30_40.wav,10.0,
Uc_1PzGr5xw,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Uc_1PzGr5xw_10_20.wav,10.0,
UcabTrKowlI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UcabTrKowlI_30_40.wav,10.0,
UdA6I_tXVHE,missing,,,ERROR: [youtube] UdA6I_tXVHE: Video unavailable
UeYmnV-B8so,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UeYmnV-B8so_20_30.wav,10.0,
UfZP677y3Dc,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UfZP677y3Dc_30_40.wav,10.0,
UfEGX0rNOvA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UfEGX0rNOvA_70_80.wav,10.0,
UhcoWyEQwBI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UhcoWyEQwBI_160_170.wav,10.0,
UhwJrftWAFg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UhwJrftWAFg_30_40.wav,10.0,
UinQGYfmZhE,missing,,,ERROR: [youtube] UinQGYfmZhE: This video is unavailable
UiiYMspxfhU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UiiYMspxfhU_30_40.wav,10.0,
UjDh1OlOwuE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UjDh1OlOwuE_60_70.wav,10.0,
UkTWmyy7ia8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UkTWmyy7ia8_30_40.wav,10.0,
UkZ76EFfLSg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UkZ76EFfLSg_30_40.wav,10.0,
UkqayNnk00w,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UkqayNnk00w_50_60.wav,10.0,
UnFEqUWTefM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UnFEqUWTefM_60_70.wav,10.0,
Uo-Okq1D8Xo,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Uo-Okq1D8Xo_30_40.wav,10.0,
UoGXR3V5Mro,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UoGXR3V5Mro_30_40.wav,10.0,
UoSID1KzWuI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UoSID1KzWuI_30_40.wav,10.0,
UoxHwOl2gN0,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UoxHwOl2gN0_10_20.wav,10.0,
Ur8O3h8S0K4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Ur8O3h8S0K4_70_80.wav,10.0,
UrgzGbGVV8I,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UrgzGbGVV8I_30_40.wav,10.0,
UsHtZ7Bzi0s,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UsHtZ7Bzi0s_150_160.wav,10.0,
UsdoUjuczY4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UsdoUjuczY4_30_40.wav,10.0,
UtCRBs5p4EQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UtCRBs5p4EQ_30_40.wav,10.0,
UtZofZjccBs,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UtZofZjccBs_290_300.wav,10.0,
Uu8m1oOWkiE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Uu8m1oOWkiE_120_130.wav,10.0,
Utl5it7YMUs,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Utl5it7YMUs_330_340.wav,10.0,
UvCY9FHpKC8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UvCY9FHpKC8_30_40.wav,10.0,
UwxatzcYf9Q,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UwxatzcYf9Q_30_40.wav,10.0,
Ux1vBolJf5Q,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Ux1vBolJf5Q_50_60.wav,10.0,
Uvn7waPvseo,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Uvn7waPvseo_30_40.wav,10.0,
Ux3YosKD-9I,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\Ux3YosKD-9I_30_40.wav,10.0,
Uxyu3XwXEV8,missing,,,ERROR: [youtube] Uxyu3XwXEV8: Private video
UxT3KG4AHAI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UxT3KG4AHAI_0_10.wav,10.0,
UxlrI-9RtWg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UxlrI-9RtWg_210_220.wav,10.0,
UxrAsZ7Z09Y,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UxrAsZ7Z09Y_520_530.wav,10.0,
UzAXqTsdtjY,missing,,,ERROR: [youtube] UzAXqTsdtjY: This video is unavailable
V0zQHNmz0gU,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\V0zQHNmz0gU_30_40.wav,10.0,
UzT20Rf8RPA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UzT20Rf8RPA_30_40.wav,10.0,
V1A4wBgvPgI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\V1A4wBgvPgI_250_260.wav,10.0,
V3Jb0Q_e_pQ,missing,,,ERROR: [youtube] V3Jb0Q_e_pQ: This video is not available
V1M3HiUz0ZQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\V1M3HiUz0ZQ_70_80.wav,10.0,
V3Vvp5HS90k,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\V3Vvp5HS90k_20_30.wav,10.0,
V4YUpQKeKD4,missing,,,ERROR: [youtube] V4YUpQKeKD4: Video unavailable
V5xL8hLFY58,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\V5xL8hLFY58_30_40.wav,10.0,
V5HMIxuAtv8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\V5HMIxuAtv8_30_40.wav,10.0,
V7RPmwxyhBA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\V7RPmwxyhBA_60_70.wav,10.0,
UzDVZzIIcy8,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\UzDVZzIIcy8_370_380.wav,10.0,
V9jIsOTC1lY,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\V9jIsOTC1lY_30_40.wav,10.0,
V9EFYFKlYbE,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\V9EFYFKlYbE_30_40.wav,10.0,
VAqgpoyD2jc,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VAqgpoyD2jc_30_40.wav,10.0,
VAqPLAgn9NI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VAqPLAgn9NI_30_40.wav,10.0,
VB82vMSTYK0,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VB82vMSTYK0_30_40.wav,10.0,
VCIN1OJkNbg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VCIN1OJkNbg_30_40.wav,10.0,
VCozi4GDpxQ,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VCozi4GDpxQ_20_30.wav,10.0,
VCrnnx9jTqs,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VCrnnx9jTqs_50_60.wav,10.0,
VCusyLPrFCo,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VCusyLPrFCo_30_40.wav,10.0,
VDYqYuPzW8E,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VDYqYuPzW8E_30_40.wav,10.0,
VG6-MlmCgzI,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VG6-MlmCgzI_30_40.wav,10.0,
VHYxygh1STA,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VHYxygh1STA_30_40.wav,10.0,
VJ-dpTx_3Cg,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VJ-dpTx_3Cg_30_40.wav,10.0,
VHyXvbg6y9M,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VHyXvbg6y9M_30_40.wav,10.0,
VJ1RqPqF9O4,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VJ1RqPqF9O4_200_210.wav,10.0,
VL6uF-XeE_A,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VL6uF-XeE_A_30_40.wav,10.0,
VLjcIlZvkY0,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VLjcIlZvkY0_30_40.wav,10.0,
VMWW9OX1EJM,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VMWW9OX1EJM_0_10.wav,10.0,
VM-U7MyZAck,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VM-U7MyZAck_30_40.wav,10.0,
VNjYW4OXqTs,ok,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\VNjYW4OXqTs_30_40.wav,10.0,
VOWGbyg4KZY,missing,,,ERROR: [youtube] VOWGbyg4KZY: This video is unavailable
