ytid,start_s,end_s,is_audioset_eval,path,status,duration_s
-JVWfFPBl84,330,340,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-JVWfFPBl84_330_340.mp3,ok,10.0
-JvB5AL59fM,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-JvB5AL59fM_30_40.mp3,ok,10.0
-M-6VinyMiY,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-M-6VinyMiY_30_40.mp3,ok,10.0
-M6K3QoHh40,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-M6K3QoHh40_30_40.mp3,ok,10.0
-NmjCyqIavI,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-NmjCyqIavI_30_40.mp3,ok,10.0
-O9mnfC61Ac,0,10,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-O9mnfC61Ac_0_10.mp3,ok,10.0
-OAyRsvFGgc,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-OAyRsvFGgc_30_40.mp3,ok,10.0
-OUIEnuNd1I,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-OUIEnuNd1I_30_40.mp3,ok,10.0
-Q9MTRXS4bE,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-Q9MTRXS4bE_30_40.mp3,ok,10.0
-QuWdnmn-kM,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-QuWdnmn-kM_30_40.mp3,ok,10.0
-R0267o4lLk,60,70,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-R0267o4lLk_60_70.mp3,ok,10.0
-RYtUAsNhF0,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-RYtUAsNhF0_30_40.mp3,ok,10.0
-SD43H5B5hE,520,530,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-SD43H5B5hE_520_530.mp3,ok,10.0
-SWaCArvQug,21,31,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-SWaCArvQug_21_31.mp3,ok,10.0
-T4GeTHKtJQ,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-T4GeTHKtJQ_30_40.mp3,ok,10.0
-U16iKiXGuY,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-U16iKiXGuY_30_40.mp3,ok,10.0
-Umconw-CRE,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-Umconw-CRE_30_40.mp3,ok,10.0
-UuEBhule84,350,360,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-UuEBhule84_350_360.mp3,ok,10.0
-VI2IRq17rs,360,370,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-VI2IRq17rs_360_370.mp3,ok,10.0
-VclCul6FrI,80,90,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-VclCul6FrI_80_90.mp3,ok,10.0
-Vo4CAMX26U,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-Vo4CAMX26U_30_40.mp3,ok,10.0
-W5c6CeUMPE,40,50,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-W5c6CeUMPE_40_50.mp3,ok,10.0
-WvVG0wHcTc,310,320,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-WvVG0wHcTc_310_320.mp3,ok,10.0
-XN0NtrnfMY,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-XN0NtrnfMY_30_40.mp3,ok,10.0
-XkbErI_7EU,50,60,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-XkbErI_7EU_50_60.mp3,ok,10.0
-YATTKBtmRA,190,200,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-YATTKBtmRA_190_200.mp3,ok,10.0
-YIT4HBM__g,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-YIT4HBM__g_30_40.mp3,ok,10.0
-ZHpNr_KRXU,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-ZHpNr_KRXU_30_40.mp3,ok,10.0
-_6RxZyi30Q,70,80,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-_6RxZyi30Q_70_80.mp3,ok,10.0
-_OzT7Xyvok,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-_OzT7Xyvok_30_40.mp3,ok,10.0
-bgHkxwoliw,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-bgHkxwoliw_30_40.mp3,ok,10.0
-cLzki-B06o,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-cLzki-B06o_30_40.mp3,ok,10.0
-cQ-jUTEgck,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-cQ-jUTEgck_30_40.mp3,ok,10.0
-dVgUSrR8g4,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-dVgUSrR8g4_30_40.mp3,ok,10.0
-e4wXAy1iVo,0,10,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-e4wXAy1iVo_0_10.mp3,ok,10.0
-eDAoheZrY8,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-eDAoheZrY8_30_40.mp3,ok,10.0
-f1DNyngKVY,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-f1DNyngKVY_30_40.mp3,ok,10.0
-f6s6kQEHFY,0,10,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-f6s6kQEHFY_0_10.mp3,ok,10.0
-fxh7jAJR8U,70,80,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-fxh7jAJR8U_70_80.mp3,ok,10.0
-hSMzrWZCAE,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-hSMzrWZCAE_30_40.mp3,ok,10.0
-hYRFCQdbLg,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-hYRFCQdbLg_30_40.mp3,ok,10.0
-i9gpG3vPwA,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-i9gpG3vPwA_30_40.mp3,ok,10.0
-i9uQMysy_A,80,90,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-i9uQMysy_A_80_90.mp3,ok,10.0
-jpbCWcz2pk,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-jpbCWcz2pk_30_40.mp3,ok,10.0
-kpR93atgd8,30,40,True,,missing,
-lPXTBXa0tE,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-lPXTBXa0tE_30_40.mp3,ok,10.0
-m5ZlWziIeA,200,210,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-m5ZlWziIeA_200_210.mp3,ok,10.0
-m9pH0WXQto,110,120,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-m9pH0WXQto_110_120.mp3,ok,10.0
-mA_bqD1tgU,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-mA_bqD1tgU_30_40.mp3,ok,10.0
-mB_XLq6g1g,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-mB_XLq6g1g_30_40.mp3,ok,10.0
-nlkWWphiaM,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-nlkWWphiaM_30_40.mp3,ok,10.0
-o0ZtQIkM60,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-o0ZtQIkM60_30_40.mp3,ok,10.0
-oP-XX28B0s,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-oP-XX28B0s_30_40.mp3,ok,10.0
-pUfYFcsgG4,0,10,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-pUfYFcsgG4_0_10.mp3,ok,10.0
-qcTD2o6I9s,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-qcTD2o6I9s_30_40.mp3,ok,10.0
-r2-9oyIzkQ,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-r2-9oyIzkQ_30_40.mp3,ok,10.0
-r7iz-9v9bA,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-r7iz-9v9bA_30_40.mp3,ok,10.0
-rAhS48FkYw,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-rAhS48FkYw_30_40.mp3,ok,10.0
-sRFfU8k0Zs,90,100,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-sRFfU8k0Zs_90_100.mp3,ok,10.0
-sevczF5etI,30,40,True,,missing,
-tKZOl4q1Kw,20,30,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-tKZOl4q1Kw_20_30.mp3,ok,10.0
-taO6N-rxv4,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-taO6N-rxv4_30_40.mp3,ok,10.0
-tmY1GEH3_Y,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-tmY1GEH3_Y_30_40.mp3,ok,10.0
-tpq_bzSKes,10,20,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-tpq_bzSKes_10_20.mp3,ok,10.0
-uaTK8sa5Ms,10,20,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-uaTK8sa5Ms_10_20.mp3,ok,10.0
-v5hgCh3M2w,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-v5hgCh3M2w_30_40.mp3,ok,10.0
-w12aSkQ9No,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-w12aSkQ9No_30_40.mp3,ok,10.0
-w4HLksto_k,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-w4HLksto_k_30_40.mp3,ok,10.0
-w8maIWtnUk,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-w8maIWtnUk_30_40.mp3,ok,10.0
-wVWjl9Kq6U,240,250,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-wVWjl9Kq6U_240_250.mp3,ok,10.0
-wymN80CiYU,130,140,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-wymN80CiYU_130_140.mp3,ok,10.0
-zA6LL78KYU,120,130,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-zA6LL78KYU_120_130.mp3,ok,10.0
-zOybsEdM5E,100,110,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\-zOybsEdM5E_100_110.mp3,ok,10.0
0-7PyzhzuYQ,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0-7PyzhzuYQ_30_40.mp3,ok,10.0
00M9FhCet6s,100,110,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\00M9FhCet6s_100_110.mp3,ok,10.0
01PzcPKT3_E,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\01PzcPKT3_E_30_40.mp3,ok,10.0
01hjVJN9xCg,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\01hjVJN9xCg_30_40.mp3,ok,10.0
0298WjE3_tk,20,30,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0298WjE3_tk_20_30.mp3,ok,10.0
02Qntw26enM,90,100,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\02Qntw26enM_90_100.mp3,ok,10.0
03frQGyrgQ4,30,40,False,,missing,
03z0rpIkm5g,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\03z0rpIkm5g_30_40.mp3,ok,10.0
04NjXsLyCl4,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\04NjXsLyCl4_30_40.mp3,ok,10.0
05JAmKFVy44,20,30,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\05JAmKFVy44_20_30.mp3,ok,10.0
05OJDYeHLMc,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\05OJDYeHLMc_30_40.mp3,ok,10.0
06Brdf83RZE,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\06Brdf83RZE_30_40.mp3,ok,10.0
06IU9WsEp3s,130,140,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\06IU9WsEp3s_130_140.mp3,ok,10.0
07-3grCQ8EU,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\07-3grCQ8EU_30_40.mp3,ok,10.0
07-vpXo91XM,70,80,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\07-vpXo91XM_70_80.mp3,ok,10.0
07FxCXxknY4,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\07FxCXxknY4_30_40.mp3,ok,10.0
07mS0mSTDjY,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\07mS0mSTDjY_30_40.mp3,ok,10.0
07xGXxIHOL4,110,120,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\07xGXxIHOL4_110_120.mp3,ok,10.0
08mf5GxT820,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\08mf5GxT820_30_40.mp3,ok,10.0
08u-jdwjM74,300,310,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\08u-jdwjM74_300_310.mp3,ok,10.0
09lQmg2wvsY,100,110,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\09lQmg2wvsY_100_110.mp3,ok,10.0
0ADP-O_V3vA,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0ADP-O_V3vA_30_40.mp3,ok,10.0
0AGHo8V8HpM,130,140,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0AGHo8V8HpM_130_140.mp3,ok,10.0
0AhX-ReXovI,120,130,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0AhX-ReXovI_120_130.mp3,ok,10.0
0BFauf6TGGU,0,10,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0BFauf6TGGU_0_10.mp3,ok,10.0
0DYH0sqDXB8,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0DYH0sqDXB8_30_40.mp3,ok,10.0
0DizopdPMBw,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0DizopdPMBw_30_40.mp3,ok,10.0
0EOQco76eXQ,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0EOQco76eXQ_30_40.mp3,ok,10.0
0EvpBtracsk,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0EvpBtracsk_30_40.mp3,ok,10.0
0EzWmAPwoTs,260,270,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0EzWmAPwoTs_260_270.mp3,ok,10.0
0F-Z0zF1504,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0F-Z0zF1504_30_40.mp3,ok,10.0
0Gxn9FtaJFc,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0Gxn9FtaJFc_30_40.mp3,ok,10.0
0H3FAoDgzhI,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0H3FAoDgzhI_30_40.mp3,ok,10.0
0HXYdGGKV2k,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0HXYdGGKV2k_30_40.mp3,ok,10.0
0ISHZQJdeSw,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0ISHZQJdeSw_30_40.mp3,ok,10.0
0J_2K1Gvruk,30,40,False,,missing,
0J_TdiZ3TKA,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0J_TdiZ3TKA_30_40.mp3,ok,10.0
0JbGxIR8JTk,200,210,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0JbGxIR8JTk_200_210.mp3,ok,10.0
0K-zyeLuKho,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0K-zyeLuKho_30_40.mp3,ok,10.0
0KCVgexi4yU,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0KCVgexi4yU_30_40.mp3,ok,10.0
0L2ndtt60Q8,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0L2ndtt60Q8_30_40.mp3,ok,10.0
0L3vcdzQPPU,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0L3vcdzQPPU_30_40.mp3,ok,10.0
0LE6Ll1rVlg,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0LE6Ll1rVlg_30_40.mp3,ok,10.0
0LLlcPiatiU,210,220,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0LLlcPiatiU_210_220.mp3,ok,10.0
0M7nETLOsKQ,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0M7nETLOsKQ_30_40.mp3,ok,10.0
0MzrXd8CUCg,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0MzrXd8CUCg_30_40.mp3,ok,10.0
0NTzOtVmoiU,60,70,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0NTzOtVmoiU_60_70.mp3,ok,10.0
0NZY0GHQBP0,240,250,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0NZY0GHQBP0_240_250.mp3,ok,10.0
0ONdm4sW47c,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0ONdm4sW47c_30_40.mp3,ok,10.0
0OY8XXZ98rw,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0OY8XXZ98rw_30_40.mp3,ok,10.0
0OYlHvyfNk4,130,140,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0OYlHvyfNk4_130_140.mp3,ok,10.0
0OhtODbKajw,350,360,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0OhtODbKajw_350_360.mp3,ok,10.0
0Olm321vgk8,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0Olm321vgk8_30_40.mp3,ok,10.0
0PMFAO4TIU4,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0PMFAO4TIU4_30_40.mp3,ok,10.0
0Q1JLNfm8oU,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0Q1JLNfm8oU_30_40.mp3,ok,10.0
0QAaln-hjPw,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0QAaln-hjPw_30_40.mp3,ok,10.0
0QYNC7J05XI,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0QYNC7J05XI_30_40.mp3,ok,10.0
0RDz0rLakwc,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0RDz0rLakwc_30_40.mp3,ok,10.0
0RcMzUdXDRQ,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0RcMzUdXDRQ_30_40.mp3,ok,10.0
0RgGrVklaao,150,160,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0RgGrVklaao_150_160.mp3,ok,10.0
0RpkkfkUBRU,10,20,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0RpkkfkUBRU_10_20.mp3,ok,10.0
0S5zWt91Bwo,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0S5zWt91Bwo_30_40.mp3,ok,10.0
0SNhAKyXtC8,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0SNhAKyXtC8_30_40.mp3,ok,10.0
0SnjS2w_c80,520,530,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0SnjS2w_c80_520_530.mp3,ok,10.0
0TV9zvfwFhs,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0TV9zvfwFhs_30_40.mp3,ok,10.0
0TiEO149Ydc,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0TiEO149Ydc_30_40.mp3,ok,10.0
0Ubu4BqSWmU,30,40,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0Ubu4BqSWmU_30_40.mp3,ok,10.0
0VjPCd62oKg,100,110,True,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0VjPCd62oKg_100_110.mp3,ok,10.0
0VsjSa1X7iA,30,40,False,,missing,
0VwX92X3iPc,30,40,False,B:\CSE425_Project\gnn-bert-music-context\data\raw\musiccaps\audio\0VwX92X3iPc_30_40.mp3,ok,10.0
